SURVEY: PS1MD
SNID:  PSc000098
IAUC:    UNKNOWN
RA:         184.9064  deg
DECL:        46.0322  deg
MWEBV:  0.0127  +- 0.0000 MW E(B-V)
REDSHIFT_FINAL:  0.0570  +- 0.0000 CMB
SEARCH_PEAKMJD: 55212.0
FILTERS:    griz

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 401
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55984.6 r NULL  -5.865 18.620 nan -3.447
OBS: 56000.5 r NULL  22.511 18.108 -8.381 0.873
OBS: 56006.5 r NULL  -36.720 21.563 nan -0.638
OBS: 56029.5 r NULL  7.352 17.666 -7.166 2.609
OBS: 56032.3 r NULL  7.620 17.812 -7.205 2.538
OBS: 56040.3 r NULL  -2.107 18.064 nan -9.309
OBS: 56043.3 r NULL  -4.308 16.400 nan -4.133
OBS: 56046.5 r NULL  35.082 19.872 -8.863 0.615
OBS: 56059.3 r NULL  9.579 39.933 -7.453 4.526
OBS: 56062.3 r NULL  -1.424 16.637 nan -12.681
OBS: 56065.3 r NULL  -12.192 17.925 nan -1.596
OBS: 56325.6 r NULL  28.108 20.457 -8.622 0.790
OBS: 56328.6 r NULL  -5.061 18.440 nan -3.956
OBS: 56331.6 r NULL  2.762 16.459 -6.103 6.470
OBS: 56332.6 r NULL  12.613 16.664 -7.752 1.435
OBS: 56336.6 r NULL  -5.881 16.548 nan -3.055
OBS: 56354.6 r NULL  -1.003 20.501 nan -22.183
OBS: 56357.6 r NULL  -13.423 17.202 nan -1.391
OBS: 56371.5 r NULL  17.558 21.451 -8.111 1.326
OBS: 56387.5 r NULL  -5.175 21.534 nan -4.518
OBS: 56390.4 r NULL  -13.912 26.290 nan -2.052
OBS: 56398.5 r NULL  -6.409 22.152 nan -3.753
OBS: 56401.3 r NULL  14.499 18.402 -7.903 1.378
OBS: 56416.4 r NULL  -31.013 20.957 nan -0.734
OBS: 56420.4 r NULL  -0.801 15.957 nan -21.621
OBS: 56427.3 r NULL  5.496 19.960 -6.850 3.943
OBS: 56430.4 r NULL  -11.285 22.391 nan -2.154
OBS: 56443.3 r NULL  9.698 18.337 -7.467 2.053
OBS: 56450.3 r NULL  3.257 23.821 -6.282 7.940
OBS: 56460.3 r NULL  16.023 17.411 -8.012 1.180
OBS: 56478.3 r NULL  -9.945 21.124 nan -2.306
OBS: 54926.6 i NULL  -251.803 98.877 nan -0.426
OBS: 54940.5 i NULL  21.258 15.682 -8.319 0.801
OBS: 54941.4 i NULL  3.316 15.470 -6.301 5.066
OBS: 54942.3 i NULL  45.177 26.773 -9.137 0.643
OBS: 54947.4 i NULL  -65.558 25.310 nan -0.419
OBS: 54948.4 i NULL  -27.548 19.079 nan -0.752
OBS: 54951.3 i NULL  4.602 19.838 -6.657 4.681
OBS: 54952.3 i NULL  12.012 17.619 -7.699 1.592
OBS: 54984.3 i NULL  -9.715 15.878 nan -1.774
OBS: 54985.4 i NULL  8.954 20.020 -7.380 2.428
OBS: 54987.4 i NULL  -25.004 22.786 nan -0.989
OBS: 54994.3 i NULL  13.399 18.019 -7.818 1.460
OBS: 55000.3 i NULL  -93.857 35.095 nan -0.406
OBS: 55189.6 i NULL  -47.446 18.970 nan -0.434
OBS: 55192.6 i NULL  -7.000 15.391 nan -2.387
OBS: 55207.6 i NULL  862.985 45.710 -12.340 0.058
OBS: 55210.6 i NULL  888.015 16.280 -12.371 0.020
OBS: 55213.6 i NULL  844.647 29.013 -12.317 0.037
OBS: 55219.6 i NULL  906.874 39.540 -12.394 0.047
OBS: 55222.6 i NULL  883.032 37.167 -12.365 0.046
OBS: 55231.6 i NULL  843.064 19.205 -12.315 0.025
OBS: 55234.6 i NULL  752.832 18.572 -12.192 0.027
OBS: 55237.6 i NULL  784.235 21.433 -12.236 0.030
OBS: 55240.5 i NULL  770.022 18.007 -12.216 0.025
OBS: 55243.5 i NULL  667.492 23.172 -12.061 0.038
OBS: 55246.5 i NULL  698.543 20.718 -12.110 0.032
OBS: 55249.6 i NULL  653.975 27.798 -12.039 0.046
OBS: 55252.6 i NULL  685.413 22.558 -12.090 0.036
OBS: 55258.6 i NULL  665.056 20.846 -12.057 0.034
OBS: 55264.5 i NULL  811.392 27.609 -12.273 0.037
OBS: 55276.6 i NULL  609.920 21.645 -11.963 0.039
OBS: 55288.4 i NULL  399.188 21.110 -11.503 0.057
OBS: 55297.3 i NULL  381.166 17.755 -11.453 0.051
OBS: 55303.5 i NULL  304.061 17.294 -11.207 0.062
OBS: 55327.4 i NULL  65.710 16.069 -9.544 0.266
OBS: 55330.3 i NULL  48.905 13.997 -9.223 0.311
OBS: 55339.3 i NULL  22.756 32.195 -8.393 1.536
OBS: 55348.3 i NULL  73.486 17.166 -9.666 0.254
OBS: 55354.3 i NULL  7.502 18.996 -7.188 2.749
OBS: 55360.3 i NULL  57.735 20.445 -9.404 0.384
OBS: 55363.3 i NULL  30.556 14.759 -8.713 0.524
OBS: 55366.3 i NULL  88.860 17.785 -9.872 0.217
OBS: 55567.6 i NULL  -20.007 15.749 nan -0.855
OBS: 55594.6 i NULL  -3.852 14.668 nan -4.135
