SURVEY: PS1MD
SNID:  PSc000174
IAUC:    UNKNOWN
RA:         162.0294  deg
DECL:        56.8502  deg
MWEBV:  0.0076  +- 0.0000 MW E(B-V)
REDSHIFT_FINAL:  0.2440  +- 0.0000 CMB
SEARCH_PEAKMJD: 55212.0
FILTERS:    griz

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 481
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 56354.4 r NULL  22.790 19.373 -8.394 0.923
OBS: 56357.5 r NULL  -3.979 12.414 nan -3.388
OBS: 56360.4 r NULL  48.390 18.369 -9.212 0.412
OBS: 56384.5 r NULL  -2.332 26.893 nan -12.522
OBS: 56387.3 r NULL  9.973 11.748 -7.497 1.279
OBS: 56390.3 r NULL  -12.839 20.114 nan -1.701
OBS: 56395.3 r NULL  -16.903 27.879 nan -1.791
OBS: 56398.4 r NULL  97.193 38.663 -9.969 0.432
OBS: 56401.3 r NULL  -45.108 17.172 nan -0.413
OBS: 56420.3 r NULL  -17.045 10.404 nan -0.663
OBS: 56427.3 r NULL  -1.410 14.467 nan -11.142
OBS: 56430.3 r NULL  -15.465 21.830 nan -1.533
OBS: 56443.3 r NULL  -9.674 10.376 nan -1.165
OBS: 55180.6 i NULL  -1.895 16.411 nan -9.402
OBS: 55183.6 i NULL  0.150 16.538 -2.942 119.469
OBS: 55192.5 i NULL  -0.732 15.934 nan -23.627
OBS: 55204.5 i NULL  120.773 14.322 -10.205 0.129
OBS: 55207.6 i NULL  187.308 14.976 -10.681 0.087
OBS: 55210.6 i NULL  205.500 17.043 -10.782 0.090
OBS: 55213.5 i NULL  308.533 14.659 -11.223 0.052
OBS: 55219.5 i NULL  314.909 16.171 -11.245 0.056
OBS: 55222.5 i NULL  318.356 14.976 -11.257 0.051
OBS: 55222.5 i NULL  306.639 19.972 -11.217 0.071
OBS: 55231.5 i NULL  210.330 20.432 -10.807 0.105
OBS: 55234.5 i NULL  212.883 15.453 -10.820 0.079
OBS: 55237.5 i NULL  142.319 18.282 -10.383 0.139
OBS: 55237.5 i NULL  158.946 16.353 -10.503 0.112
OBS: 55240.5 i NULL  138.756 17.794 -10.356 0.139
OBS: 55240.5 i NULL  147.478 16.316 -10.422 0.120
OBS: 55243.4 i NULL  137.102 17.403 -10.343 0.138
OBS: 55246.4 i NULL  125.223 19.609 -10.244 0.170
OBS: 55249.5 i NULL  139.887 33.522 -10.364 0.260
OBS: 55249.5 i NULL  133.505 18.820 -10.314 0.153
OBS: 55249.5 i NULL  150.036 37.579 -10.440 0.272
OBS: 55252.5 i NULL  68.656 20.134 -9.592 0.318
OBS: 55258.5 i NULL  85.229 22.370 -9.826 0.285
OBS: 55264.5 i NULL  76.647 18.820 -9.711 0.267
OBS: 55276.5 i NULL  47.174 15.387 -9.184 0.354
OBS: 55288.4 i NULL  6.778 21.541 -7.078 3.450
OBS: 55330.3 i NULL  28.644 14.522 -8.643 0.550
OBS: 55330.3 i NULL  26.515 15.184 -8.559 0.622
OBS: 55339.3 i NULL  -33.799 47.445 nan -1.524
OBS: 55348.3 i NULL  -3.914 15.688 nan -4.351
OBS: 55561.6 i NULL  13.134 14.913 -7.796 1.233
OBS: 55570.6 i NULL  -8.099 17.164 nan -2.301
OBS: 55585.4 i NULL  -39.388 22.611 nan -0.623
OBS: 55588.6 i NULL  2.050 14.242 -5.779 7.543
OBS: 55588.6 i NULL  -1.013 16.472 nan -17.660
OBS: 55594.5 i NULL  10.875 13.868 -7.591 1.385
OBS: 55597.5 i NULL  -13.812 14.470 nan -1.137
OBS: 55615.5 i NULL  -86.224 32.324 nan -0.407
OBS: 55615.5 i NULL  -88.604 39.487 nan -0.484
OBS: 55633.4 i NULL  0.942 15.208 -4.935 17.525
OBS: 55633.4 i NULL  2.718 14.456 -6.086 5.774
OBS: 55636.4 i NULL  -61.725 23.969 nan -0.422
OBS: 55645.5 i NULL  6.611 15.671 -7.051 2.574
OBS: 55651.5 i NULL  1.615 15.739 -5.520 10.581
OBS: 55651.5 i NULL  -8.400 16.616 nan -2.148
OBS: 55663.3 i NULL  -14.364 17.395 nan -1.315
OBS: 55663.3 i NULL  5.142 14.615 -6.778 3.086
OBS: 55666.3 i NULL  -36.464 18.871 nan -0.562
OBS: 55672.3 i NULL  5.616 15.505 -6.874 2.997
OBS: 55672.3 i NULL  14.238 15.597 -7.884 1.189
OBS: 55675.3 i NULL  1.436 14.678 -5.393 11.099
OBS: 55675.3 i NULL  -5.992 20.016 nan -3.627
OBS: 55681.3 i NULL  16.759 14.766 -8.061 0.957
OBS: 55693.3 i NULL  166.256 225.448 -10.552 1.472
OBS: 55705.3 i NULL  17.220 15.962 -8.090 1.006
OBS: 55705.3 i NULL  8.662 18.532 -7.344 2.323
OBS: 55711.3 i NULL  3.206 16.021 -6.265 5.426
OBS: 55720.3 i NULL  -18.552 30.530 nan -1.787
OBS: 55720.3 i NULL  -35.720 32.349 nan -0.983
OBS: 55723.3 i NULL  9.724 18.512 -7.470 2.067
OBS: 55945.6 i NULL  -2.361 14.221 nan -6.539
OBS: 55945.6 i NULL  -5.786 17.731 nan -3.327
OBS: 55948.6 i NULL  -4.869 14.976 nan -3.339
OBS: 55948.6 i NULL  -2.960 16.471 nan -6.042
OBS: 55950.6 i NULL  30.927 15.546 -8.726 0.546
OBS: 55950.6 i NULL  14.109 14.741 -7.874 1.134
OBS: 55956.6 i NULL  3.757 14.122 -6.437 4.081
OBS: 55956.6 i NULL  7.201 13.991 -7.144 2.109
OBS: 55960.6 i NULL  4.173 14.722 -6.551 3.831
OBS: 55960.6 i NULL  -23.268 20.717 nan -0.967
OBS: 55968.5 i NULL  -15.531 16.308 nan -1.140
OBS: 55968.5 i NULL  -9.561 16.242 nan -1.844
OBS: 55971.5 i NULL  -15.155 16.313 nan -1.169
OBS: 55971.5 i NULL  -19.283 15.326 nan -0.863
OBS: 55979.6 i NULL  8.237 16.511 -7.289 2.176
OBS: 55979.6 i NULL  8.755 18.035 -7.356 2.236
OBS: 55985.6 i NULL  4.986 17.108 -6.744 3.725
OBS: 55985.6 i NULL  -4.202 18.311 nan -4.731
OBS: 55998.5 i NULL  10.889 24.402 -7.593 2.433
OBS: 55998.5 i NULL  12.834 20.761 -7.771 1.756
OBS: 56007.4 i NULL  -3.334 18.416 nan -5.997
OBS: 56007.4 i NULL  10.040 17.339 -7.504 1.875
OBS: 56015.3 i NULL  0.356 15.699 -3.879 47.852
OBS: 56015.3 i NULL  -9.265 17.699 nan -2.074
OBS: 56019.3 i NULL  -8.890 16.848 nan -2.058
OBS: 56027.4 i NULL  40.648 17.710 -9.023 0.473
OBS: 56030.3 i NULL  23.665 15.652 -8.435 0.718
OBS: 56033.3 i NULL  -26.756 15.368 nan -0.624
OBS: 56038.3 i NULL  11.417 14.678 -7.644 1.396
OBS: 56041.3 i NULL  17.582 14.435 -8.113 0.891
OBS: 56044.3 i NULL  5.281 14.447 -6.807 2.970
OBS: 56048.4 i NULL  5.995 17.806 -6.944 3.225
OBS: 56057.4 i NULL  -12.107 21.785 nan -1.954
OBS: 56063.3 i NULL  29.666 15.033 -8.681 0.550
OBS: 56066.3 i NULL  -216.011 19.108 nan -0.096
OBS: 56068.3 i NULL  -8.272 14.110 nan -1.852
OBS: 56323.5 i NULL  17.645 16.071 -8.117 0.989
OBS: 56326.5 i NULL  -17.717 15.686 nan -0.961
OBS: 56332.6 i NULL  10.500 14.122 -7.553 1.460
OBS: 56337.6 i NULL  -19.949 16.053 nan -0.874
OBS: 56352.4 i NULL  -7.177 27.992 nan -4.235
OBS: 56355.4 i NULL  3.018 16.108 -6.199 5.795
OBS: 56358.5 i NULL  4.783 16.623 -6.699 3.774
OBS: 56369.4 i NULL  -1.987 18.118 nan -9.901
OBS: 56385.4 i NULL  -70.689 21.650 nan -0.333
OBS: 56388.4 i NULL  -11.859 19.678 nan -1.802
OBS: 56391.4 i NULL  1.940 16.168 -5.719 9.049
OBS: 56393.3 i NULL  -10.852 16.142 nan -1.615
OBS: 56396.3 i NULL  -60.091 20.504 nan -0.370
OBS: 56399.4 i NULL  -19.838 15.974 nan -0.874
OBS: 56403.3 i NULL  -16.785 18.411 nan -1.191
OBS: 56411.3 i NULL  -25.613 32.681 nan -1.385
OBS: 56414.3 i NULL  -6.906 16.216 nan -2.550
OBS: 56417.3 i NULL  -35.678 15.380 nan -0.468
OBS: 56420.3 i NULL  0.871 13.989 -4.850 17.440
OBS: 56422.3 i NULL  -2.886 13.517 nan -5.085
OBS: 56428.3 i NULL  -18.725 15.788 nan -0.915
OBS: 56444.3 i NULL  -7.348 15.993 nan -2.363
OBS: 55160.6 z NULL  -11.934 28.017 nan -2.549
OBS: 55163.6 z NULL  5.368 28.382 -6.825 5.740
OBS: 55181.6 z NULL  5.212 19.297 -6.792 4.020
OBS: 55193.6 z NULL  9.944 19.866 -7.494 2.169
OBS: 55193.6 z NULL  14.809 18.916 -7.926 1.387
OBS: 55199.5 z NULL  54.495 23.949 -9.341 0.477
OBS: 55202.6 z NULL  82.258 23.529 -9.788 0.311
OBS: 55208.6 z NULL  191.773 19.610 -10.707 0.111
OBS: 55214.5 z NULL  216.605 20.362 -10.839 0.102
OBS: 55223.5 z NULL  234.854 28.681 -10.927 0.133
OBS: 55235.6 z NULL  148.036 22.214 -10.426 0.163
OBS: 55238.5 z NULL  123.840 24.906 -10.232 0.218
OBS: 55241.4 z NULL  119.892 22.759 -10.197 0.206
OBS: 55247.4 z NULL  115.599 29.605 -10.157 0.278
OBS: 55250.6 z NULL  121.775 22.874 -10.214 0.204
OBS: 55250.6 z NULL  100.769 22.513 -10.008 0.243
OBS: 55259.5 z NULL  79.615 27.578 -9.752 0.376
OBS: 55280.3 z NULL  19.240 21.668 -8.211 1.223
OBS: 55289.4 z NULL  65.735 27.525 -9.544 0.455
OBS: 55298.4 z NULL  11.685 26.248 -7.669 2.439
OBS: 55304.3 z NULL  26.512 20.202 -8.559 0.827
OBS: 55331.3 z NULL  6.337 32.521 -7.005 5.572
OBS: 55334.3 z NULL  15.899 23.309 -8.003 1.592
OBS: 55334.3 z NULL  15.962 20.606 -8.008 1.402
OBS: 55352.3 z NULL  33.180 23.246 -8.802 0.761
OBS: 55352.3 z NULL  27.278 28.038 -8.590 1.116
OBS: 55583.5 z NULL  -12.249 21.695 nan -1.923
OBS: 55583.5 z NULL  -9.293 20.967 nan -2.450
OBS: 55586.6 z NULL  22.877 21.049 -8.399 0.999
OBS: 55586.6 z NULL  17.603 20.444 -8.114 1.261
OBS: 55589.6 z NULL  37.251 21.150 -8.928 0.616
OBS: 55592.6 z NULL  17.184 22.286 -8.088 1.408
OBS: 55595.5 z NULL  8.856 19.340 -7.368 2.371
OBS: 55595.5 z NULL  -8.008 24.402 nan -3.308
OBS: 55613.4 z NULL  -20.338 22.849 nan -1.220
OBS: 55613.4 z NULL  -13.454 23.648 nan -1.908
OBS: 55631.4 z NULL  41.876 27.423 -9.055 0.711
OBS: 55634.3 z NULL  13.601 21.280 -7.834 1.699
OBS: 55634.3 z NULL  8.934 22.403 -7.378 2.723
OBS: 55646.4 z NULL  -38.542 27.009 nan -0.761
OBS: 55649.5 z NULL  19.588 35.605 -8.230 1.973
OBS: 55652.5 z NULL  13.194 48.072 -7.801 3.956
OBS: 55673.3 z NULL  -2.777 23.975 nan -9.372
OBS: 55673.3 z NULL  -5.204 21.529 nan -4.492
OBS: 55676.3 z NULL  -26.052 27.681 nan -1.154
OBS: 55682.2 z NULL  16.293 21.416 -8.030 1.427
OBS: 55694.3 z NULL  -21.026 46.491 nan -2.401
OBS: 55703.3 z NULL  -2.583 25.186 nan -10.585
OBS: 55706.3 z NULL  -66.863 28.761 nan -0.467
OBS: 55712.3 z NULL  -27.250 21.387 nan -0.852
OBS: 55712.3 z NULL  -19.868 19.835 nan -1.084
OBS: 55718.3 z NULL  16.946 21.902 -8.073 1.403
OBS: 55718.3 z NULL  33.174 24.375 -8.802 0.798
OBS: 55724.3 z NULL  106.139 431.629 -10.065 4.415
OBS: 55910.6 z NULL  26.429 22.616 -8.555 0.929
OBS: 55910.6 z NULL  18.654 24.042 -8.177 1.399
OBS: 55931.6 z NULL  -8.808 21.861 nan -2.695
OBS: 55931.6 z NULL  -20.614 22.514 nan -1.186
OBS: 55935.5 z NULL  25.027 25.286 -8.496 1.097
OBS: 55935.5 z NULL  59.507 27.440 -9.436 0.501
OBS: 55940.5 z NULL  28.169 52.535 -8.624 2.025
OBS: 55940.5 z NULL  22.334 42.321 -8.372 2.057
OBS: 55946.6 z NULL  52.440 25.949 -9.299 0.537
OBS: 55946.6 z NULL  38.199 26.727 -8.955 0.760
OBS: 55949.6 z NULL  33.334 37.415 -8.807 1.219
OBS: 55949.6 z NULL  46.405 35.413 -9.166 0.829
OBS: 55951.6 z NULL  26.621 21.253 -8.563 0.867
OBS: 55951.6 z NULL  29.180 23.428 -8.663 0.872
OBS: 55954.6 z NULL  -10.404 20.855 nan -2.176
OBS: 55954.6 z NULL  9.633 21.867 -7.459 2.465
OBS: 55957.6 z NULL  -23.746 20.257 nan -0.926
OBS: 55957.6 z NULL  -19.873 21.638 nan -1.182
