ug,gr,gi,gz,petroRad_i,petroR50_i,deVAB_i,fracDev_i
0.9787006,0.4288559,0.7155914,0.8448277,6.204083,3.080595,0.659172,0.0
2.286026,1.511618,2.052694,2.369984,5.476421,2.025587,0.8575963,1.0
1.946569,1.361948,1.929062,2.359653,4.330629,1.868206,0.3364439,0.7588253
2.644999,1.726471,2.417234,2.739073,3.784792,1.720376,0.9965245,0.8387138
3.196243,1.670811,2.321127,2.679226,2.30984,1.085704,0.9356972,1.0
1.617683,0.7770061,1.156677,1.442558,4.416288,2.179327,0.8262317,0.5702773
1.810795,0.8240547,1.193775,1.485946,4.597883,1.953073,0.8669302,1.0
0.9592457,0.3814735,0.6574612,0.7745514,4.262395,1.980631,0.5825977,0.1111165
0.862402,0.2585144,0.5543213,0.541256,6.259861,2.695331,0.7382213,0.6998717
1.913635,1.21373,1.647734,2.002764,3.872032,1.632972,0.9114423,1.0
1.120941,0.4381409,0.7233219,0.8047085,4.930409,2.290043,0.7855628,0.1492638
1.410837,1.68664,2.362244,2.769812,3.85506,1.826775,0.7833913,1.0
1.405416,0.7712955,1.265402,1.509834,3.663491,1.53094,0.6762267,1.0
1.411638,0.8596249,1.293116,1.56514,5.69151,2.755455,0.4560601,0.1737876
2.08823,0.7540627,1.166536,1.505934,4.877139,2.190423,0.2343601,0.09108569
3.281137,2.132647,3.168531,3.605503,3.622058,1.503932,0.7277687,0.9597316
1.087965,0.4041042,0.6868515,0.7880249,5.397429,2.534373,0.5496511,0.0
2.00046,1.7596,2.397676,2.819855,2.524051,1.206106,0.5932829,1.0
2.807673,1.595215,2.272772,2.723196,3.136904,1.267965,0.7500371,1.0
1.906759,1.635496,2.200043,2.620583,4.143144,1.597491,0.7177514,1.0
1.915415,0.9725399,1.40551,1.748298,4.82791,2.047616,0.8370284,1.0
1.654703,0.9480228,1.401844,1.686296,3.223985,1.608153,0.4936163,0.23318
1.278593,0.8479176,1.291674,1.543932,3.987218,1.73697,0.513863,0.7699567
1.444183,0.8302402,1.312681,1.603363,3.156121,1.469769,0.4514936,0.8438087
